Siruta,Localitate,Barbati_18-24,Barbati_25-34,Barbati_35-44,Barbati_45-64,Femei_18-24,Femei_25-34,Femei_35-44,Femei_45-64
24034,PARAVA,0.859,4.296,38.488,22.337,7.045,9.107,1.718,14.605
24089,PARINCEA,1.456,2.791,59.83,10.558,7.282,3.398,1.82,11.529
24187,PANCESTI,0.8,1.6,60.667,16,4,2.533,1.467,11.867
24276,PARGARESTI,0.922,12.121,29.513,24.506,10.013,1.713,2.108,17.918
24338,PARJOL,2.954,4.257,27.194,33.623,11.295,3.562,2.954,12.25
24427,PLOPANA,0.631,2.396,67.339,11.223,2.774,4.666,1.513,7.44
24524,PODU TURCULUI,0.59,8.751,47.198,18.584,6.785,1.967,1.967,12.389
24631,PODURI,0.188,1.695,58.443,13.81,5.712,1.13,1.318,16.51
24711,RACOVA,0.263,2.234,28.384,37.714,8.147,4.468,1.314,15.769
24766,RACACIUNI,1.836,1.907,28.319,20.056,11.37,2.825,2.048,30.72
24837,RACHITOASA,0.429,3.966,70.311,11.361,2.465,1.286,2.036,7.395
24999,ROSIORI,0.891,7.127,54.788,14.031,3.786,0.668,1.559,10.245
25068,SASCUT,0.861,3.204,45.385,25.203,7.221,1.913,1.913,13.486
25148,SANDULENI,0.574,1.722,55.683,19.288,5.052,1.378,1.033,14.811
25228,SAUCESTI,0.063,4.216,46.822,19.006,11.013,2.266,2.58,12.335
25291,SCORTENI,1.014,1.858,39.02,16.554,11.318,10.98,1.858,15.034
25362,SECUIENI,0.581,5.426,26.55,38.372,5.62,5.814,2.326,13.76
25488,SOLONT,0.906,2.115,55.438,10.876,5.438,3.172,1.662,19.789
25521,STANISESTI,0.949,7.711,64.887,11.507,2.254,1.661,1.305,8.66
25629,STRUGARI,4.07,3.101,55.814,13.372,6.202,3.101,3.101,9.884
25692,TAMASI,0.208,4.995,54.006,14.88,4.683,1.665,2.914,14.464
25745,TATARASTI,0.173,4.333,62.045,8.492,3.986,2.08,1.733,16.638
25825,TARGU TROTUS,2.24,2.56,41.2,17.44,12.96,3.36,1.76,17.52
25861,TRAIAN,0.328,10.328,17.049,41.639,11.148,2.623,2.459,12.787
25932,UNGURENI,0.1,1.403,70.842,8.617,3.206,1.904,1.904,10.922
26029,URECHESTI,0.278,8.333,33.472,25.556,11.806,2.083,2.5,15
26083,VALEA SEACA,0.355,2.13,78.438,7.187,1.775,0.799,1.331,7.276
26118,VULTURENI,0.873,1.092,68.341,16.376,2.838,1.528,1.965,5.677
26289,ZEMES,0.3,3.203,28.829,29.429,8.709,2.503,1.702,21.922
26320,SARATA,0.699,2.448,42.133,20.455,12.937,1.923,1.923,15.21
26338,BUCIUMI,0.252,3.019,66.164,8.302,4.654,3.774,0.881,12.075
26346,GIOSENI,0.89,1.335,19.288,46.884,13.056,3.858,1.929,11.721
26353,ODOBESTI,0.296,8.593,55.259,17.185,5.481,4,1.926,6.815
26361,PRAJESTI,0.365,1.642,43.978,33.029,4.562,1.277,0.73,13.139
26379,ITESTI,0.477,3.341,18.854,40.334,8.115,8.115,1.432,15.99
26564,MUNICIPIUL ORADEA,17.533,1.847,16.083,41.058,11.866,3.468,0.842,6.561
26582,SANMARTIN,1.696,3.206,34.178,37.988,9.712,3.741,0.72,8.271
26653,SANTANDREI,2.783,2.49,14.16,53.369,15.625,2.539,1.123,7.373
26699,ORAS ALESD,13.099,2.269,15.624,44.932,7.245,2.744,0.878,11.709
26742,ASTILEU,0.819,4.004,17.925,53.412,4.004,2.002,1.001,15.833
26804,MUNICIPIUL BEIUS,5.604,2.335,23.724,40.94,10.461,5.791,1.121,9.34
26840,ORAS STEI,0.697,2.232,24.454,51.836,5.858,3.347,0.976,10.042
26877,MUNICIPIUL MARGHITA,44.581,1.18,12.755,22.807,6.07,1.942,0.688,9.511
26920,ORAS NUCET,0.641,2.671,50.321,27.137,6.09,2.671,0.427,9.829
26975,MUNICIPIUL SALONTA,52.282,0.905,12.397,16.221,5.428,1.706,0.432,10.074
27007,ORAS VASCAU,0.732,3.556,21.757,48.745,6.381,8.159,0.418,9.728
27070,ABRAM,3.614,0.904,15.261,60.542,3.213,2.912,0.803,12.651
