Siruta,Localitate_X,Judet,Localitate
107001,Ardusat,mm,ARDUSAT
107047,Arinis,mm,ARINIS
107083,Asuaju De Sus,mm,ASUAJU DE SUS
107118,Baita De Sub Codru,mm,BAITA DE SUB CODRU
107154,Baiut,mm,BAIUT
107190,Basesti,mm,BASESTI
107234,Bicaz,mm,BICAZ
107270,Bistra,mm,BISTRA
107314,Barsana,mm,BARSANA
107350,Bocicoiu Mare,mm,BOCICOIU MARE
107403,Bogdan Voda,mm,BOGDAN VODA
107430,Boiu Mare,mm,BOIU MARE
107485,Botiza,mm,BOTIZA
107519,Budesti,mm,BUDESTI
107546,Calinesti,mm,CALINESTI
107582,Cernesti,mm,CERNESTI
107662,Cicarlau,mm,CICARLAU
107715,Campulung La Tisa,mm,CAMPULUNG LA TISA
107733,Copalnic-Manastur,mm,COPALNIC-MANASTUR
107868,Coroieni,mm,COROIENI
107920,Cupseni,mm,CUPSENI
107975,Desesti,mm,DESESTI
108017,Oras Dragomiresti,mm,ORAS DRAGOMIRESTI
108035,Dumbravita,mm,DUMBRAVITA
108106,Farcasa,mm,FARCASA
108151,Giulesti,mm,GIULESTI
108204,Ieud,mm,IEUD
108222,Lapus,mm,LAPUS
108240,Leordina,mm,LEORDINA
108268,Miresu Mare,mm,MIRESU MARE
108348,Moisei,mm,MOISEI
108366,Oarta De Jos,mm,OARTA DE JOS
108400,Ocna Sugatag,mm,OCNA SUGATAG
108455,Petrova,mm,PETROVA
108473,Poienile De Sub Munte,mm,POIENILE DE SUB MUNTE
108491,Remetea Chioarului,mm,REMETEA CHIOARULUI
108552,Remeti,mm,REMETI
108598,Repedea,mm,REPEDEA
108614,Rona De Jos,mm,RONA DE JOS
108632,Rona De Sus,mm,RONA DE SUS
108669,Rozavlea,mm,ROZAVLEA
108696,Ruscova,mm,RUSCOVA
108712,Satulung,mm,SATULUNG
108794,Sacalaseni,mm,SACALASENI
108874,Sacel,mm,SACEL
108892,Oras Salistea De Sus,mm,ORAS SALISTEA DE SUS
108918,Salsig,mm,SALSIG
108945,Sapanta,mm,SAPANTA
108963,Oras Seini,mm,ORAS SEINI
109005,Stramtura,mm,STRAMTURA
109041,Suciu De Sus,mm,SUCIU DE SUS
109096,Sisesti,mm,SISESTI
109176,Oras Somcuta Mare,mm,ORAS SOMCUTA MARE
109265,Oras Ulmeni,mm,ORAS ULMENI
109354,Valea Chioarului,mm,VALEA CHIOARULUI
109425,Vima Mica,mm,VIMA MICA
109504,Viseu De Jos,mm,VISEU DE JOS
109773,Municipiul Drobeta-Turnu Severin,mh,MUNICIPIUL DROBETA-TURNU SEVERIN
109826,Simian,mh,SIMIAN
109924,Oras Baia De Arama,mh,ORAS BAIA DE ARAMA
110027,Obarsia-Closani,mh,OBARSIA-CLOSANI
110063,Municipiul Orsova,mh,MUNICIPIUL ORSOVA
110116,Oras Strehaia,mh,ORAS STREHAIA
110232,Oras Vanju Mare,mh,ORAS VANJU MARE
110296,Bala,mh,BALA
110456,Balta,mh,BALTA
110535,Balacita,mh,BALACITA
110571,Bacles,mh,BACLES
110688,Balvanesti,mh,BALVANESTI
110740,Breznita-Motru,mh,BREZNITA-MOTRU
110820,Breznita-Ocol,mh,BREZNITA-OCOL
110875,Brosteni,mh,BROSTENI
110946,Burila Mare,mh,BURILA MARE
111006,Butoiesti,mh,BUTOIESTI
111097,Cazanesti,mh,CAZANESTI
111220,Ciresu,mh,CIRESU
111275,Corcova,mh,CORCOVA
111417,Corlatel,mh,CORLATEL
111444,Cujmir,mh,CUJMIR
111480,Devesel,mh,DEVESEL
111550,Darvari,mh,DARVARI
111587,Dumbrava,mh,DUMBRAVA
111685,Floresti,mh,FLORESTI
111783,Garla Mare,mh,GARLA MARE
111818,Godeanu,mh,GODEANU
111863,Gogosu,mh,GOGOSU
111916,Greci,mh,GRECI
111989,Grozesti,mh,GROZESTI
112030,Gruia,mh,GRUIA
112076,Hinova,mh,HINOVA
112129,Husnicioara,mh,HUSNICIOARA
112245,Eselnita,mh,ESELNITA
112263,Ilovat,mh,ILOVAT
112334,Ilovita,mh,ILOVITA
112370,Isverna,mh,ISVERNA
112469,Izvoru Barzii,mh,IZVORU BARZII
112548,Jiana,mh,JIANA
112600,Livezile,mh,LIVEZILE
112664,Malovat,mh,MALOVAT
112744,Obarsia De Camp,mh,OBARSIA DE CAMP
112771,Oprisor,mh,OPRISOR
112806,Padina,mh,PADINA
112879,Patulele,mh,PATULELE
112904,Dubova,mh,DUBOVA
112959,Podeni,mh,PODENI
112995,Ponoarele,mh,PONOARELE
113153,Poroina Mare,mh,POROINA MARE
113206,Pristol,mh,PRISTOL
113233,Prunisor,mh,PRUNISOR
113395,Punghina,mh,PUNGHINA
113466,Rogova,mh,ROGOVA
113493,Salcia,mh,SALCIA
113518,Stangaceaua,mh,STANGACEAUA
113607,Svinita,mh,SVINITA
113625,Sisesti,mh,SISESTI
113698,Sovarna,mh,SOVARNA
113732,Tamna,mh,TAMNA
113849,Vanatori,mh,VANATORI
113894,Vanjulet,mh,VANJULET
113929,Vladaia,mh,VLADAIA
113974,Voloiac,mh,VOLOIAC
114060,Branistea,mh,BRANISTEA
114079,Vrata,mh,VRATA
114319,Municipiul Targu Mures,ms,MUNICIPIUL TARGU MURES
114355,Cristesti,ms,CRISTESTI
114382,Sancraiu De Mures,ms,SANCRAIU DE MURES
114417,Sangeorgiu De Mures,ms,SANGEORGIU DE MURES
114453,Santana De Mures,ms,SANTANA DE MURES
114514,Municipiul Sighisoara,ms,MUNICIPIUL SIGHISOARA
114603,Albesti,ms,ALBESTI
114710,Oras Ludus,ms,ORAS LUDUS
114809,Municipiul Reghin,ms,MUNICIPIUL REGHIN
114854,Oras Sovata,ms,ORAS SOVATA
114925,Municipiul Tarnaveni,ms,MUNICIPIUL TARNAVENI
114970,Acatari,ms,ACATARI
115076,Adamus,ms,ADAMUS
115147,Alunis,ms,ALUNIS
115183,Apold,ms,APOLD
115236,Atintis,ms,ATINTIS
115307,Bahnea,ms,BAHNEA
115389,Band,ms,BAND
115520,Batos,ms,BATOS
115575,Bagaciu,ms,BAGACIU
115600,Bala,ms,BALA
115637,Balauseri,ms,BALAUSERI
115708,Beica De Jos,ms,BEICA DE JOS
