Siruta,Localitate,Categorie
41284,JIBERT,Femei_35-44
41346,LISA,Barbati_18-24
41382,MAIERUS,Femei_35-44
41417,MANDRA,Barbati_18-24
41471,MOIECIU,Barbati_18-24
41541,ORMENIS,Femei_35-44
41578,PARAU,Barbati_18-24
41621,POIANA MARULUI,Femei_35-44
41667,PREJMER,Femei_35-44
41701,RACOS,Femei_35-44
41738,RECEA,Barbati_18-24
41818,SERCAIA,Femei_35-44
41854,SINCA,Barbati_18-24
41925,SANPETRU,Femei_35-44
41943,SOARS,Femei_35-44
42003,TARLUNGENI,Femei_35-44
42058,TELIU,Femei_35-44
42076,TICUSU,Femei_35-44
42101,UCEA,Femei_35-44
42156,UNGRA,Barbati_18-24
42183,VAMA BUZAULUI,Femei_35-44
42236,VISTEA,Barbati_18-24
42307,VOILA,Barbati_18-24
42398,VULCAN,Femei_35-44
42449,SINCA NOUA,Barbati_18-24
42456,CRIZBAV,Femei_35-44
42464,SAMBATA DE SUS,Barbati_18-24
42472,HOLBAV,Barbati_18-24
42480,DRAGUS,Barbati_18-24
42498,AUGUSTIN,Femei_35-44
42682,MUNICIPIUL BRAILA,Barbati_18-24
42708,CHISCANI,Barbati_18-24
42753,ORAS FAUREI,Barbati_18-24
42771,SURDILA-GRECI,Barbati_18-24
42824,BARAGANUL,Barbati_18-24
42842,BERTESTII DE JOS,Barbati_18-24
42913,BORDEI VERDE,Barbati_18-24
42968,CIOCILE,Barbati_18-24
43019,CIRESU,Barbati_18-24
43073,DUDESTI,Barbati_18-24
43117,FRECATEI,Barbati_18-24
43180,GALBENU,Barbati_18-24
43242,GEMENELE,Barbati_18-24
43279,GRADISTEA,Barbati_18-24
43313,GROPENI,Barbati_18-24
43331,ORAS IANCA,Barbati_18-24
43411,ORAS INSURATEI,Barbati_18-24
43466,JIRLAU,Barbati_18-24
43493,MARASU,Barbati_18-24
43563,MAXINENI,Barbati_18-24
43625,MIRCEA VODA,Barbati_18-24
43652,MOVILA MIRESII,Barbati_18-24
43698,RACOVITA,Barbati_18-24
43732,RAMNICELU,Barbati_18-24
43787,ROMANU,Femei_35-44
43812,ROSIORI,Barbati_18-24
43867,SALCIA TUDOR,Barbati_18-24
43929,SCORTARU NOU,Barbati_18-24
43992,SILISTEA,Barbati_18-24
44060,STANCUTA,Barbati_18-24
44113,SURDILA-GAISEANCA,Barbati_18-24
44140,SUTESTI,Barbati_18-24
44177,TICHILESTI,Barbati_18-24
44202,TRAIAN,Barbati_18-24
44257,TUDOR VLADIMIRESCU,Barbati_18-24
44300,TUFESTI,Barbati_18-24
44328,ULMU,Barbati_18-24
44355,UNIREA,Barbati_18-24
44391,VADENI,Barbati_18-24
44435,VICTORIA,Barbati_18-24
44462,VISANI,Barbati_18-24
44505,VIZIRU,Barbati_18-24
44532,ZAVOAIA,Barbati_18-24
44560,CAZASU,Barbati_18-24
44818,MUNICIPIUL BUZAU,Barbati_18-24
44845,MUNICIPIUL RAMNICU SARAT,Barbati_18-24
44863,AMARU,Barbati_18-24
44934,BALTA ALBA,Barbati_18-24
44989,BALACEANU,Barbati_18-24
45003,BECENI,Barbati_18-24
45101,BERCA,Barbati_18-24
45245,BISOCA,Barbati_18-24
45334,BLAJANI,Barbati_18-24
45361,BOLDU,Barbati_18-24
45389,BOZIORU,Barbati_18-24
45496,BRADEANU,Barbati_18-24
45539,BRAESTI,Barbati_18-24
45619,BREAZA,Barbati_18-24
45673,BUDA,Barbati_18-24
45753,CALVINI,Barbati_18-24
45815,C.A. ROSETTI,Femei_35-44
45888,CANESTI,Barbati_18-24
45959,CATINA,Barbati_18-24
46019,CERNATESTI,Barbati_18-24
